company_name,ticker_code,industry,market,market_type,fiscal_period,prefecture,stock_price,market_cap,pbr,per_forward,per_trailing,per_previous,payout_ratio,dividend_yield,eps_trailing,eps_forward,eps_previous,revenue,operating_income,operating_margin,net_income,profit_margin,roe,equity_ratio,total_liabilities,current_liabilities,current_assets,total_debt,cash_and_equivalents,investment_securities,net_cash,net_cash_ratio,week52_high,week52_low,week52_high_ratio,volume_current,volume_avg_10d,volume_avg_90d,volume_surge_ratio,short_percent_float,short_ratio,beta,ma5,ma25,ma75,ma5_deviation,ma25_deviation,ma75_deviation,rsi14,bb_upper,bb_lower,bb_width,bb_pct_b
アサンテ,6073,サービス業,プライム（内国株式）,JP,2025-03-31,東京都,1519.0,14845071360.0,1.5291582,17.560694,30.21082,32.378350450673736,1.2321,0.019710906,50.28,86.5,47.46999840162156,14024081000.0,1226213000.0,-0.01347,687898000.0,0.08601,0.095290005,0.6792714724279183,4601217000.0,2064264000.0,9350561000.0,2356504000.0,7106131000.0,20534000.0,4763717800.0,0.32089558106374777,1728.0,1515.0,0.8791,19200.0,35160.0,28208.0,0.6887,,,0.327,1521.8,1538.87,1562.06,-0.0018,-0.0129,-0.0276,39.01,1569.46,1508.27,61.19,0.1753
ジェイエスエス,6074,サービス業,スタンダード（内国株式）,JP,2025-03-31,大阪府,540.0,2173852672.0,0.6776352,5.493387,10.858637,6.834760125215451,0.4023,0.037593983,49.73,98.3,56.50920597064938,8381933000.0,252190000.0,0.07576,192605000.0,0.03078,,0.40037453472357587,4509662000.0,1999532000.0,1450310000.0,2512481000.0,1067040000.0,27055000.0,-3040413500.0,-1.3986290511595443,595.0,397.0,0.9076,124700.0,15820.0,7540.0,20.0697,,,0.334,530.6,516.34,527.17,0.0177,0.0458,0.0243,79.29,538.46,494.22,44.25,1.0348
バリューＨＲ,6078,サービス業,プライム（内国株式）,JP,2025-12-31,東京都,1479.0,39503859712.0,5.728051,,62.882652,50.13848178814047,1.1069,0.017579446,23.52,,29.52999976594748,10068322000.0,883326000.0,0.15712,629022000.0,0.062480003,0.0926,0.378577967093927,11319128000.0,6423122000.0,6574400000.0,5085610000.0,4931033000.0,1492301000.0,-3700117300.0,-0.0936647033220408,1899.0,1336.0,0.7788,16900.0,27370.0,42724.0,0.3476,,,0.094,1487.4,1432.56,1455.23,-0.0056,0.0324,0.0163,70.35,1507.83,1357.29,150.55,0.8085
Ｍ＆Ａキャピタルパートナーズ,6080,サービス業,プライム（内国株式）,JP,2025-09-30,東京都,3235.0,102739009536.0,2.3763335,15.507406,20.576262,18.185731107263642,0.33150002,0.016080247,157.22,208.61,140.08600430875532,22448727000.0,7126679000.0,0.37695,5070542000.0,0.22228001,0.11132,0.7760550541471098,12490281000.0,8031058000.0,46916092000.0,3110122000.0,16243092000.0,2877559000.0,36440102300.0,0.35468613591443376,3780.0,2519.0,0.8558,86600.0,127910.0,137849.0,0.7175,,,0.621,3201.0,3210.16,3347.85,0.0106,0.0077,-0.0337,54.33,3555.04,2865.28,689.76,0.536
アライドアーキテクツ,6081,サービス業,グロース（内国株式）,JP,2025-12-31,東京都,287.0,4550173184.0,2.549117,10.64935,,-4.156897735966732,0.0,0.0,-51.8,26.95,-36.32516592686476,2990959000.0,-188437000.0,-0.025810001,-743342000.0,-0.24849,-0.32424,0.5488631540094122,1310424000.0,964535000.0,2498434000.0,454268000.0,1528242000.0,268074000.0,1375661800.0,0.30233174527011586,466.0,164.0,0.6159,196300.0,132800.0,2646162.0,0.0865,,,1.898,289.2,310.16,303.68,-0.0076,-0.0747,-0.0549,54.55,370.42,249.9,120.52,0.3078
ライドオンエクスプレスホールディングス,6082,サービス業,スタンダード（内国株式）,JP,2025-03-31,東京都,994.0,9739343872.0,1.1690487,20.20325,20.532948,26.325563334154495,0.30969998,0.015075377,48.41,49.2,37.43000034677927,23393750000.0,781703000.0,0.03925,333605000.0,0.01758,0.05207,0.6176461242118797,4966526000.0,3340594000.0,8709499000.0,1649667000.0,6544597000.0,2497131000.0,5490964700.0,0.5637920554161947,1054.0,969.0,0.9431,18300.0,24360.0,20485.0,0.8554,,,0.297,995.6,1002.27,1009.49,-0.0016,-0.0083,-0.0153,46.86,1016.99,987.55,29.44,0.219
ＥＲＩホールディングス,6083,サービス業,スタンダード（内国株式）,JP,2025-05-31,東京都,3975.0,29743513600.0,3.9757354,,13.568406,12.026622212865089,0.2903,0.021118013,292.96,,159.87999374610914,19765494000.0,2045769000.0,0.21677999,1293720000.0,0.122700006,0.44101003,0.47207689969951006,7050690000.0,4841457000.0,9579233000.0,2550829000.0,5863509000.0,96034000.0,2595766800.0,0.08727169341553515,5060.0,2000.0,0.7856,75800.0,109930.0,42278.0,1.782,,,0.566,4062.0,4409.8,4537.87,-0.0214,-0.0986,-0.124,32.96,5071.59,3748.01,1323.57,0.1715
アーキテクツ・スタジオ・ジャパン,6085,サービス業,グロース（内国株式）,JP,2025-03-31,東京都,2660.0,30521098240.0,-6100.9175,,,-2.93786301005936,0.0,0.0,-24.74,,-49.015219398228666,897496000.0,-96615000.0,-1.39716,-79904000.0,-0.46304,-22.15789,0.04535616780918806,1896149000.0,575656000.0,630582000.0,1338209000.0,211375000.0,,-1265567000.0,-0.04146531655081098,5300.0,143.0,0.5019,191400.0,253920.0,414467.0,0.6307,,,1.576,2570.2,2933.44,1519.59,0.0349,-0.0932,0.7505,48.24,4202.07,1664.81,2537.26,0.3922
シンメンテホールディングス,6086,サービス業,グロース（内国株式）,JP,2025-02-28,東京都,1058.0,19984431104.0,4.2648907,10.168188,16.721985,17.61451570724112,0.2527,0.0151946815,63.27,104.05,43.13999944043447,25707509000.0,1534311000.0,0.07456,1033141000.0,0.0433,0.31033,0.3917846043447478,5514349000.0,4776463000.0,7731416000.0,392848000.0,4140204000.0,343512000.0,2457525400.0,0.12297199691154141,1290.0,728.0,0.8202,20300.0,40850.0,22265.0,0.9831,,,0.366,1051.0,1096.24,1161.0,0.0067,-0.0349,-0.0887,52.98,1225.23,967.25,257.98,0.3518
アビスト,6087,サービス業,スタンダード（内国株式）,JP,2025-09-30,東京都,3390.0,13489345536.0,1.9177505,20.130642,20.746635,19.274266756311444,0.62479997,0.029912023,163.4,168.4,153.5500157937073,10627251000.0,953682000.0,0.11728,649573000.0,0.06491,0.10232,0.758038674242401,2363741000.0,1555743000.0,6043993000.0,10000000.0,4143252000.0,1188234000.0,4512015800.0,0.3344873765712691,3485.0,3030.0,0.9727,2200.0,3580.0,2757.0,0.7586,,,0.333,3384.0,3416.2,3402.53,0.0018,-0.0077,-0.0037,40.68,3495.74,3336.66,159.09,0.3353
