company_name,ticker_code,industry,market,market_type,fiscal_period,prefecture,stock_price,market_cap,pbr,per_forward,per_trailing,per_previous,payout_ratio,dividend_yield,eps_trailing,eps_forward,eps_previous,revenue,operating_income,operating_margin,net_income,profit_margin,roe,equity_ratio,total_liabilities,current_liabilities,current_assets,total_debt,cash_and_equivalents,investment_securities,net_cash,net_cash_ratio,week52_high,week52_low,week52_high_ratio,volume_current,volume_avg_10d,volume_avg_90d,volume_surge_ratio,short_percent_float,short_ratio,beta,ma5,ma25,ma75,ma5_deviation,ma25_deviation,ma75_deviation,rsi14,bb_upper,bb_lower,bb_width,bb_pct_b
Ａｂａｌａｎｃｅ,3856,電気機器,スタンダード（内国株式）,JP,2024-06-30,東京都,685.0,12981196800.0,0.34893808,,1.9244816,1.9363304338375218,0.0139999995,0.0062695923,355.94,,290.40999515749377,208972000000.0,23353000000.0,0.11744001,9530000000.0,0.01313,,0.16050155487337936,107743000000.0,83261000000.0,89197000000.0,44955000000.0,37740000000.0,2582000000.0,-16738600000.0,-1.2894496753951068,1400.0,328.0,0.4893,542800.0,178970.0,406821.0,1.2501,,,0.926,647.0,617.8,552.64,0.0587,0.1088,0.2395,59.11,682.88,552.72,130.15,1.0163
ユビキタスＡＩ,3858,情報・通信業,スタンダード（内国株式）,JP,2025-03-31,東京都,329.0,3440972544.0,1.6362216,,,111.90051112462007,0.0,0.0,-3.05,,3.145651404648087,4138789000.0,96498000.0,-0.16500999,91084000.0,-0.029579999,-0.05633,0.694410568281014,1054429000.0,730717000.0,2513353000.0,65414000.0,1346054000.0,265341000.0,1644662700.0,0.47796449374982286,507.0,277.0,0.6489,28900.0,57420.0,95793.0,0.2888,,,0.556,329.8,346.72,368.29,-0.0024,-0.0511,-0.1067,41.84,372.55,320.89,51.66,0.157
王子ホールディングス,3861,パルプ・紙,プライム（内国株式）,JP,2025-03-31,東京都,852.5,755905265664.0,0.7322914,11.165685,24.724478,11.459774138717572,0.86910003,0.035410766,34.48,76.35,51.30000002251417,1849264000000.0,67687000000.0,0.02079,46171000000.0,0.0,0.025969999,0.41814400595059636,1502241000000.0,738818000000.0,806504000000.0,903388000000.0,58429000000.0,197835000000.0,-557252500000.0,-0.7371988598472058,990.7,572.5,0.8605,3573100.0,5156380.0,4257985.0,0.848,,,,847.82,882.9,887.9,0.0055,-0.0344,-0.0399,38.46,956.87,808.94,147.93,0.2945
日本製紙,3863,パルプ・紙,プライム（内国株式）,JP,2025-03-31,東京都,1290.0,149036122112.0,0.3071572,10.69563,8.436887,4.9991057125459655,0.09810001,0.011801731,152.9,120.61,197.0899995579403,1182431000000.0,19708000000.0,0.02009,4539000000.0,0.010319999,0.02888,0.2829928586022023,1192875000000.0,479192000000.0,638305000000.0,874926000000.0,185941000000.0,172984000000.0,-433481200000.0,-2.9085646745038143,1347.0,867.0,0.9577,591000.0,1113580.0,727455.0,0.9541,,,0.262,1276.4,1258.81,1196.63,0.0107,0.0248,0.078,54.74,1332.23,1185.4,146.83,0.7124
三菱製紙,3864,パルプ・紙,プライム（内国株式）,JP,2025-03-31,東京都,850.0,37237104640.0,0.4515997,15.740741,11.297183,6.604475367466417,0.19940001,0.01754386,75.24,54.0,95.28000015902849,175942000000.0,4567000000.0,-0.029690001,4343000000.0,-0.00065,-0.00107,0.40944783567143894,122937000000.0,88882000000.0,91512000000.0,72334000000.0,6239000000.0,24813000000.0,-14055900000.0,-0.37747027154472124,924.0,519.0,0.9199,149800.0,220920.0,328371.0,0.5506,,,0.23,837.6,826.13,725.68,0.0148,0.0289,0.1713,58.29,879.92,772.34,107.59,0.7219
北越コーポレーション,3865,パルプ・紙,プライム（内国株式）,JP,2025-03-31,東京都,947.0,159317377024.0,0.5913908,9.47948,13.714699,21.823468182583014,0.34759998,0.025477707,69.05,99.9,49.84651025069086,305718000000.0,19728000000.0,0.04586,15529000000.0,0.036340002,0.04042,0.6329395868048758,153014000000.0,82005000000.0,179486000000.0,90630000000.0,27644000000.0,30608000000.0,47897600000.0,0.3006426599201704,1173.0,809.0,0.8073,258700.0,397000.0,328020.0,0.9222,,,0.293,931.6,961.72,929.01,0.0165,-0.0153,0.0194,40.91,1057.97,865.47,192.5,0.4235
みのや,386A,小売業,スタンダード（内国株式）,JP,2024-06-30,埼玉県,1371.0,4942454784.0,1.3268337,,19.331642,,0.0,0.0,70.92,,,,,0.03603,,0.01017,,0.32541649810982043,5182736000.0,3554514000.0,3233742000.0,2247262000.0,1108145000.0,176398000.0,-1825515400.0,-0.36935399103895983,2980.0,1350.0,0.4601,6600.0,15230.0,14741.0,0.3195,,,,1384.4,1460.56,1562.09,-0.0097,-0.0613,-0.1223,31.49,1570.94,1350.18,220.77,0.0943
中越パルプ工業,3877,パルプ・紙,プライム（内国株式）,JP,2025-03-31,,1862.0,23397036032.0,0.39929104,,32.695347,4.5463556101813705,1.3155999,0.040300913,56.95,,285.81357633794113,111009000000.0,4848000000.0,-0.00296,1761000000.0,0.0028600001,-0.01107,0.4666989367288002,65948000000.0,52103000000.0,54612000000.0,37194000000.0,9005000000.0,11651000000.0,-3180300000.0,-0.13592747370437525,2087.0,1200.0,0.8922,13800.0,45520.0,38208.0,0.2864,,,,1855.0,1876.92,1937.57,0.0038,-0.0079,-0.039,48.38,1956.22,1797.61,158.61,0.406
巴川コーポレーション,3878,化学,スタンダード（内国株式）,JP,2025-03-31,,779.0,7639035392.0,0.4662214,7.146789,13.659478,11.448921572369818,0.26299998,0.019305019,57.03,109.0,57.2748841533509,34432000000.0,1286000000.0,0.029879998,749000000.0,0.0166,0.04081,0.33065723522902335,26460000000.0,18197000000.0,21639000000.0,13882000000.0,4925000000.0,6318000000.0,-398400000.0,-0.05215318159374225,949.0,558.0,0.8209,7300.0,25540.0,31861.0,0.3043,,,0.608,777.8,830.81,803.37,0.0015,-0.0624,-0.0303,36.29,915.5,746.12,169.37,0.1941
フラー,387A,情報・通信業,グロース（内国株式）,JP,2024-06-30,新潟県,1075.0,1824834048.0,1.5963529,,11.139896,265.1367411474441,0.0,0.0,96.5,,16.97237425686515,,,0.03656,,0.08274,,0.595837630976246,520762000.0,294523000.0,1137985000.0,228319000.0,886065000.0,19769000.0,631061300.0,0.3458184598712617,5420.0,1045.0,0.1983,2200.0,3050.0,9176.0,0.2138,,,,1074.8,1109.48,1358.67,0.0002,-0.0311,-0.2088,38.07,1196.13,1022.83,173.31,0.301
