company_name,ticker_code,industry,market,market_type,fiscal_period,prefecture,stock_price,market_cap,pbr,per_forward,per_trailing,per_previous,payout_ratio,dividend_yield,eps_trailing,eps_forward,eps_previous,revenue,operating_income,operating_margin,net_income,profit_margin,roe,equity_ratio,total_liabilities,current_liabilities,current_assets,total_debt,cash_and_equivalents,investment_securities,net_cash,net_cash_ratio,week52_high,week52_low,week52_high_ratio,volume_current,volume_avg_10d,volume_avg_90d,volume_surge_ratio,short_percent_float,short_ratio,beta,ma5,ma25,ma75,ma5_deviation,ma25_deviation,ma75_deviation,rsi14,bb_upper,bb_lower,bb_width,bb_pct_b
マックスバリュ東海,8198,小売業,スタンダード（内国株式）,JP,2026-02-28,,3195.0,101875900416.0,1.049715,,9.935937,10.524065374146092,0.26450002,0.026275115,321.56,,294.44999864490893,384951000000.0,13557000000.0,0.053439997,10249000000.0,0.026619999,0.11058,0.6367901315573636,55355000000.0,46547000000.0,73950000000.0,1396000000.0,12882000000.0,1445000000.0,19606500000.0,0.19245474071825455,3950.0,3085.0,0.8089,18100.0,21850.0,18361.0,1.0163,,,0.032,,,,,,,,,,,
リンガーハット,8200,小売業,プライム（内国株式）,JP,2026-02-28,,2201.0,57037598720.0,3.7450826,109.50249,33.062943,,0.195,0.005858495,66.57,20.1,,45084680000.0,1418182000.0,0.02414,1727752000.0,0.038310003,0.119610004,0.48936922042749054,15892902000.0,7096751000.0,6151331000.0,7870976000.0,2375178000.0,1355217000.0,-8792919100.0,-0.15416005051623605,2391.0,2028.0,0.9205,138200.0,132420.0,116896.0,1.1742,,,-0.014,,,,,,,,,,,
ラオックスホールディングス,8202,小売業,スタンダード（内国株式）,JP,2025-12-31,,148.0,13529591808.0,0.62558913,,,21.689127376180622,0.2725,0.020408163,-1.09,,7.329132755753916,57535000000.0,69000000.0,-0.08067001,-99000000.0,0.00604,0.015829999,0.5348705616070165,19728000000.0,15820000000.0,31475000000.0,2989000000.0,8962000000.0,,11747000000.0,0.8682449675277003,178.0,141.0,0.8315,43200.0,60790.0,94448.0,0.3757,,,-0.083,,,,,,,,,,,
ＭｒＭａｘＨＤ,8203,小売業,プライム（内国株式）,JP,2026-02-28,,777.0,25893677056.0,0.6747891,8.907486,9.536082,10.08993346699272,0.3312,0.034394905,81.48,87.23,74.450000993368,147683000000.0,4446000000.0,0.02257,2715000000.0,0.018380001,0.07295,0.44236555421061735,48372000000.0,28614000000.0,20628000000.0,22140000000.0,2110000000.0,1705000000.0,-26550500000.0,-1.025366151843923,915.0,693.0,0.8492,195300.0,146780.0,84220.0,2.2693,,,0.081,,,,,,,,,,,
テンアライド,8207,小売業,スタンダード（内国株式）,JP,2026-03-31,,293.0,11729693696.0,4.285631,,,72.089210152996,0.0,0.0,-11.61,,3.911819804954267,12093492000.0,-120678000.0,-0.044159997,-462798000.0,-0.0382,-0.16418,0.40332109996061005,4050575000.0,2644423000.0,3398092000.0,1526980000.0,2567456000.0,628463000.0,-212558900.0,-0.018121436544629103,302.0,275.0,0.9702,20900.0,19700.0,20485.0,0.7426,,,0.391,,,,,,,,,,,
フレンドリー,8209,小売業,スタンダード（内国株式）,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＡＯＫＩホールディングス,8214,小売業,プライム（内国株式）,JP,2026-03-31,,1670.0,140543901696.0,0.96993047,,14.849725,14.085427420552424,0.7114,0.047732696,112.46,,113.89000015107614,194532000000.0,16948000000.0,0.15574999,9461000000.0,0.04863,0.065910004,0.6427003171364574,80249000000.0,46009000000.0,70865000000.0,34958000000.0,27008000000.0,541000000.0,-9005300000.0,-0.06407464067333701,1905.0,1481.0,0.8766,132300.0,157740.0,201616.0,0.6279,,,0.148,,,,,,,,,,,
オークワ,8217,小売業,プライム（内国株式）,JP,2026-02-28,,783.0,31854432256.0,0.43352938,23.944954,122.152885,-16.32329951221826,4.0373,0.032869786,6.41,32.7,-55.88999965470731,252655000000.0,1887000000.0,-0.0053399997,264000000.0,-4.0000003e-05,7e-05,0.5751298143519342,54584000000.0,35982000000.0,30650000000.0,22459000000.0,11374000000.0,3783000000.0,-21285900000.0,-0.6682241211814615,1006.0,750.0,0.7783,100300.0,120010.0,99990.0,0.9405,,,0.223,,,,,,,,,,,
コメリ,8218,小売業,プライム（内国株式）,JP,2026-03-31,,3460.0,162473443328.0,0.6322441,10.534007,11.177155,10.079189220686716,0.1808,0.016045846,309.56,328.46,289.12000271438563,385383000000.0,23056000000.0,0.02474,14645000000.0,0.038,0.0582,0.6519074364399255,137216000000.0,98575000000.0,183200000000.0,31242000000.0,12130000000.0,2198000000.0,47522600000.0,0.2924945703530255,3710.0,2963.0,0.9326,73100.0,67640.0,89226.0,0.7849,,,0.005,,,,,,,,,,,
青山商事,8219,小売業,プライム（内国株式）,JP,2026-03-31,,707.0,100357046272.0,0.56668806,4.638499,14.741451,11.392634283976493,0.9454,0.06305007,47.96,152.42,63.439999937349874,189011000000.0,10589000000.0,0.13771,6918000000.0,0.0366,0.03857,0.5785537870472008,125244000000.0,57309000000.0,179681000000.0,77973000000.0,59113000000.0,6140000000.0,58735000000.0,0.58526034973976,924.3333,662.0,0.7649,896700.0,639840.0,748421.0,1.007,,,-0.346,,,,,,,,,,,
タカチホ,8225,卸売業,スタンダード（内国株式）,JP,2026-03-31,,3390.0,2370755840.0,0.91961056,,7.2207546,8.037766158096593,0.213,0.0295858,469.48,,443.50771211550784,9691188000.0,485218000.0,-0.043119997,328269000.0,0.03385,0.13579,0.5789754599230366,1875818000.0,1112679000.0,2368197000.0,717158000.0,1133686000.0,80840000.0,548967000.0,0.23155779719602,4480.0,3160.0,0.7567,300.0,160.0,260.0,0.5696,,,0.335,,,,,,,,,,,
理経,8226,卸売業,スタンダード（内国株式）,JP,2026-03-31,,376.0,5684884480.0,0.9435501,,7.6128774,8.3164964539837,0.1418,0.018766755,49.39,,43.73708578609696,19535970000.0,1236903000.0,0.12692,746490000.0,0.03819,0.13265,0.46549669399102567,6885544000.0,6174881000.0,12153288000.0,3207936000.0,4111943000.0,77776000.0,5322187200.0,0.9361997097256759,623.0,342.0,0.6035,82200.0,108710.0,244575.0,0.3341,,,0.385,,,,,,,,,,,
しまむら,8227,小売業,プライム（内国株式）,JP,2025-02-28,,3318.0,688877076480.0,1.398484,5.6623096,16.404629,55.684062171699196,0.3377,0.02086983,202.26,585.98,189.94333376104785,701384000000.0,61483000000.0,0.09847999,44460000000.0,0.06506,0.09329,0.8833312174685795,66168000000.0,55605000000.0,370429000000.0,,161200000000.0,33226000000.0,327519200000.0,0.4754392491524702,11575.0,3116.0,0.2867,894000.0,1049570.0,806831.0,1.0378,,,0.02,,,,,,,,,,,
はせがわ,8230,小売業,スタンダード（内国株式）,JP,2026-03-31,,312.0,5675401216.0,0.44390252,,19.48782,5.8559742657276805,0.9363,0.0,16.01,,49.76000009677083,21122000000.0,773000000.0,0.100509994,291000000.0,0.013780001,0.02298,0.6016661959898334,8463000000.0,4226000000.0,8360000000.0,4663000000.0,2467000000.0,998000000.0,595600000.0,0.10494412242096542,340.0,304.0,0.9176,6700.0,4680.0,7810.0,0.79,,,0.257,,,,,,,,,,,
高島屋,8233,小売業,プライム（内国株式）,JP,2026-02-28,,2291.0,671295995904.0,1.477065,17.391636,,10.200840676211817,0.2609,0.014769766,-27.39,131.73,107.24999986364801,492370000000.0,53527000000.0,0.16606002,-8194000000.0,-0.010089999,-0.0054,0.3341088328954435,868482000000.0,542760000000.0,364353000000.0,414470000000.0,79187000000.0,131966000000.0,-411752800000.0,-0.6133699627472283,2608.5,1104.5,0.8783,1675800.0,2630600.0,1796995.0,0.9029,,,-0.005,,,,,,,,,,,
松屋,8237,小売業,プライム（内国株式）,JP,2026-02-28,,1728.0,87679180800.0,3.291629,27.781351,41.211544,22.417862903052303,0.2861,0.0068965517,41.93,62.2,44.915653567053056,45706000000.0,2641000000.0,0.06829,2192000000.0,0.04796,0.08028,0.3498253171872127,48662000000.0,31554000000.0,17752000000.0,22711000000.0,4744000000.0,10144000000.0,-23809200000.0,-0.2715490699475148,2925.0,1040.0,0.5908,191700.0,365600.0,350953.0,0.5559,,,0.355,,,,,,,,,,,
エイチ・ツー・オー　リテイリング,8242,小売業,プライム（内国株式）,JP,2026-03-31,,2797.0,318556012544.0,1.033009,14.248599,11.090844,6.639802703038897,0.1825,0.016197182,252.19,196.3,289.19000106771716,680215000000.0,32388000000.0,0.043330003,29950000000.0,0.04403,0.09652001,0.4356850130612599,389269000000.0,201563000000.0,169163000000.0,143004000000.0,57812000000.0,94786000000.0,-153755800000.0,-0.4826648813566586,2935.0,1917.5,0.953,387300.0,468060.0,425121.0,0.9524,,,-0.048,,,,,,,,,,,
