company_name,ticker_code,industry,market,market_type,fiscal_period,prefecture,stock_price,market_cap,pbr,per_forward,per_trailing,per_previous,payout_ratio,dividend_yield,eps_trailing,eps_forward,eps_previous,revenue,operating_income,operating_margin,net_income,profit_margin,roe,equity_ratio,total_liabilities,current_liabilities,current_assets,total_debt,cash_and_equivalents,investment_securities,net_cash,net_cash_ratio,week52_high,week52_low,week52_high_ratio,volume_current,volume_avg_10d,volume_avg_90d,volume_surge_ratio,short_percent_float,short_ratio,beta,ma5,ma25,ma75,ma5_deviation,ma25_deviation,ma75_deviation,rsi14,bb_upper,bb_lower,bb_width,bb_pct_b
極洋,1301,水産・農林業,プライム（内国株式）,JP,2025-03-31,東京都,4285.0,50894155776.0,0.65809166,14.909534,7.4389777,8.070757783429992,0.2604,0.0,576.02,287.4,548.609977030654,302681000000.0,11080000000.0,0.02145,6740000000.0,0.02044,0.08875,0.3652267498366435,113763000000.0,74995000000.0,134258000000.0,79916000000.0,7514000000.0,14053000000.0,30332100000.0,0.5959839501710257,5450.0,4180.0,0.7862,78800.0,63080.0,59241.0,1.3925,,,0.182,4241.0,4409.0,4796.34,0.0104,-0.0281,-0.1066,41.76,4616.87,4201.13,415.73,0.2017
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A,医薬品,グロース（内国株式）,JP,2025-12-31,東京都,417.0,2705126656.0,1.5164298,,,-17.91901087793201,0.0,0.0,-65.6,,-37.11142342231482,91140000.0,-396748000.0,-4.32034,-425671000.0,0.0,-0.21319,0.9463974976020101,101036000.0,101035000.0,1865371000.0,,1825213000.0,,1764335000.0,0.6522189990944365,940.0,390.0,0.4436,18600.0,18490.0,23348.0,0.346,,,-0.244,416.4,424.84,458.05,0.0014,-0.0185,-0.0896,65.06,480.5,369.18,111.33,0.4296
ニッスイ,1332,水産・農林業,プライム（内国株式）,JP,2025-03-31,東京都,1257.0,381212688384.0,1.270205,14.150624,13.944975,10.642673222361562,0.3549,0.025559105,90.14,88.83,76.66999989893061,886126000000.0,31783000000.0,0.03734,25381000000.0,0.02955,0.09923001,0.4363657269585653,348939000000.0,226179000000.0,332568000000.0,215270000000.0,14707000000.0,30453000000.0,4946100000.0,0.01297464683289276,1570.0,830.5,0.8006,984200.0,1463130.0,1460703.0,0.6414,,,0.144,1270.3,1276.36,1344.7,-0.0105,-0.0152,-0.0652,40.76,1386.11,1166.61,219.51,0.4118
マルハニチロ,1333,水産・農林業,プライム（内国株式）,JP,2025-03-31,東京都,1256.5,189961814016.0,0.7683272,4.7903166,8.666713,7.150355562099553,0.2529,0.0,144.98,262.3,137.8699996778207,1078631000000.0,30382000000.0,0.00676,23264000000.0,0.020060001,0.09965,0.33699984292678775,405816000000.0,236915000000.0,414576000000.0,270911000000.0,49240000000.0,44671000000.0,40029700000.0,0.2107249828464388,1589.0,996.6667,0.7907,400900.0,570720.0,587308.0,0.6436,,,0.144,1250.9,1273.3,1394.36,0.0045,-0.0132,-0.0989,49.66,1343.84,1202.76,141.09,0.3809
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,情報・通信業,グロース（内国株式）,JP,2026-02-28,東京都,3865.0,39639441408.0,26.777609,,60.92371,61.133993767058826,0.0,0.0,63.44,,41.27000126334757,3278000000.0,915000000.0,-0.036140002,652000000.0,0.13646,,0.6482115085536547,1131000000.0,1129000000.0,2747000000.0,400000000.0,427000000.0,,1616000000.0,0.04076747659904865,4790.0,1910.0,0.8069,103100.0,145850.0,138125.0,0.7975,,,1.717,4008.0,3994.2,3131.93,-0.0357,-0.0323,0.2341,40.86,4721.54,3266.86,1454.69,0.4112
ユキグニファクトリー,1375,水産・農林業,プライム（内国株式）,JP,2025-03-31,新潟県,1059.0,42235912192.0,2.8595731,6.702532,14.279935,,0.3101,0.021988528,74.16,158.0,,,,0.00597,,0.07816,0.21652001,0.32655540297876834,25343000000.0,9502000000.0,11501000000.0,17159000000.0,3903000000.0,186000000.0,-13711800000.0,-0.3246478953187421,1149.0,1000.0,0.9217,37000.0,42460.0,45096.0,0.7688,,,0.194,1050.4,1059.2,1060.71,0.0082,-0.0002,-0.0016,50.68,1083.74,1034.66,49.08,0.4959
カネコ種苗,1376,水産・農林業,スタンダード（内国株式）,JP,2025-05-31,群馬県,1417.0,15538891776.0,0.6081109,,12.199741,12.925351764877554,0.32700002,0.027318476,116.15,,103.28880898088055,64508666000.0,1511651000.0,-0.00068000006,1200256000.0,0.01964,0.05158,0.5071656318283071,24306507000.0,22983956000.0,38277060000.0,,1934582000.0,2264370000.0,15555612000.0,1.0010760242262466,1859.0,1350.0,0.7622,27500.0,35140.0,21771.0,1.305,,,0.253,1393.8,1385.05,1418.55,0.0166,0.0231,-0.0011,57.4,1414.74,1355.37,59.37,1.038
サカタのタネ,1377,水産・農林業,プライム（内国株式）,JP,2025-05-31,神奈川県,4160.0,175800336384.0,1.0157758,19.720314,15.56828,9.156203256554349,0.2992,0.01937046,267.21,210.95,365.2200012116753,92920000000.0,12258000000.0,0.09742,9711000000.0,0.10678001,0.06309,0.844585466997581,29220000000.0,20037000000.0,113848000000.0,2868000000.0,29525000000.0,18464000000.0,97552800000.0,0.5549067880445677,4630.0,3310.0,0.8985,148200.0,327910.0,187881.0,0.8793,,,-0.046,4151.0,4103.37,4200.32,0.0022,0.0138,-0.0096,62.06,4228.1,3978.63,249.47,0.727
ホクト,1379,水産・農林業,プライム（内国株式）,JP,2025-03-31,長野県,1826.0,57238478848.0,0.8812023,,9.521327,16.32039695925144,0.2867,0.0,191.78,,106.37999937711115,83104000000.0,6628000000.0,0.11857,4441000000.0,0.081549995,0.115109995,0.5278479836461625,50813000000.0,24823000000.0,38621000000.0,33066000000.0,16323000000.0,8374000000.0,-6330200000.0,-0.11059343517514157,2123.0,1767.0,0.8601,68000.0,104540.0,101728.0,0.6996,,,0.006,1815.2,1850.04,1893.68,0.0059,-0.013,-0.0357,35.71,1925.8,1774.28,151.53,0.3413
Ｃｏｃｏｌｉｖｅ,137A,情報・通信業,グロース（内国株式）,JP,2025-05-31,東京都,644.0,1947803776.0,5.262857,,10.469843,28.01365496916153,0.0,0.0,61.51,,46.869999699981996,1301771000.0,279617000.0,0.21733999,209170000.0,0.0,,0.8409387789823908,168282000.0,168279000.0,1020383000.0,,,,852101000.0,0.43746757784291307,1585.0,549.0,0.4063,10300.0,15990.0,7481.0,1.0614,,,,583.8,671.2,697.4,0.1031,-0.0405,-0.0766,35.9,791.13,551.27,239.86,0.3866
