company_name,ticker_code,industry,market,market_type,fiscal_period,prefecture,stock_price,market_cap,pbr,per_forward,per_trailing,per_previous,payout_ratio,dividend_yield,eps_trailing,eps_forward,eps_previous,revenue,operating_income,operating_margin,net_income,profit_margin,roe,equity_ratio,total_liabilities,current_liabilities,current_assets,total_debt,cash_and_equivalents,investment_securities,net_cash,net_cash_ratio,week52_high,week52_low,week52_high_ratio,volume_current,volume_avg_10d,volume_avg_90d,volume_surge_ratio,short_percent_float,short_ratio,beta,ma5,ma25,ma75,ma5_deviation,ma25_deviation,ma75_deviation,rsi14,bb_upper,bb_lower,bb_width,bb_pct_b
アサンテ,6073,サービス業,プライム（内国株式）,JP,2025-03-31,東京都,1515.0,14805980160.0,1.5251315,17.51445,30.113297,32.155190894201105,1.2321,0.019736841,50.31,86.5,47.46999840162156,14024081000.0,1226213000.0,-0.01347,687898000.0,0.08601,0.095290005,0.6792714724279183,4601217000.0,2064264000.0,9350561000.0,2356504000.0,7106131000.0,20534000.0,4763717800.0,0.3217428193555002,1728.0,1463.0,0.8767,37700.0,33910.0,28210.0,1.3727,,,0.327,1533.6,1548.23,1562.85,-0.0121,-0.0215,-0.0306,41.2,1582.76,1513.7,69.06,0.0188
ジェイエスエス,6074,サービス業,スタンダード（内国株式）,JP,2025-03-31,大阪府,513.0,2065159936.0,0.6437534,5.218718,10.321932,7.073379508781641,0.4023,0.03883495,49.7,98.3,56.50920597064938,8381933000.0,252190000.0,0.07576,192605000.0,0.03078,,0.40037453472357587,4509662000.0,1999532000.0,1450310000.0,2512481000.0,1067040000.0,27055000.0,-3040413500.0,-1.472241179484125,595.0,384.0,0.8622,2800.0,3930.0,5386.0,0.5749,,,0.334,513.6,515.14,526.55,-0.0012,-0.0041,-0.0257,48.9,534.54,495.74,38.8,0.4449
バリューＨＲ,6078,サービス業,プライム（内国株式）,JP,2025-12-31,東京都,1485.0,39664119808.0,5.7512884,,63.299236,47.57155350495867,1.1069,0.017735334,23.46,,29.52999976594748,10068322000.0,883326000.0,0.15712,629022000.0,0.062480003,0.0926,0.378577967093927,11319128000.0,6423122000.0,6574400000.0,5085610000.0,4931033000.0,1492301000.0,-3700117300.0,-0.0932862576532887,1899.0,1311.0,0.782,33700.0,36820.0,47288.0,0.6783,,,0.094,1446.4,1417.16,1468.12,0.0267,0.0479,0.0115,66.79,1471.32,1363.0,108.32,1.1263
Ｍ＆Ａキャピタルパートナーズ,6080,サービス業,プライム（内国株式）,JP,2025-09-30,東京都,3080.0,97816428544.0,2.262475,14.764393,19.597862,19.31619422046543,0.33150002,0.017703023,157.16,208.61,140.08600430875532,22448727000.0,7126679000.0,0.37695,5070542000.0,0.22228001,0.11132,0.7760550541471098,12490281000.0,8031058000.0,46916092000.0,3110122000.0,16243092000.0,2877559000.0,36440102300.0,0.3725356041148899,3780.0,2279.0,0.8148,188800.0,133950.0,136385.0,1.5469,,,0.621,2973.8,3285.76,3354.92,0.0357,-0.0626,-0.0819,31.98,3760.3,2811.22,949.07,0.2832
アライドアーキテクツ,6081,サービス業,グロース（内国株式）,JP,2025-12-31,東京都,285.0,4518464512.0,2.5313532,10.575139,,-4.293971980917738,0.0,0.0,-51.82,26.95,-36.32999951868772,2990959000.0,-188437000.0,-0.025810001,-743342000.0,-0.24849,-0.32424,0.5488631540094122,1310424000.0,964535000.0,2498434000.0,454268000.0,1528242000.0,268074000.0,1375661800.0,0.3044533815296235,466.0,131.0,0.6116,144600.0,215930.0,2690293.0,0.0638,,,1.898,285.2,331.76,298.28,-0.0007,-0.1409,-0.0445,32.06,421.0,242.52,178.49,0.238
ライドオンエクスプレスホールディングス,6082,サービス業,スタンダード（内国株式）,JP,2025-03-31,東京都,998.0,9778536448.0,1.1737531,20.284552,20.598555,26.220260976456405,0.30969998,0.015045135,48.45,49.2,37.43000034677927,23393750000.0,781703000.0,0.03925,333605000.0,0.01758,0.05207,0.6176461242118797,4966526000.0,3340594000.0,8709499000.0,1649667000.0,6544597000.0,2497131000.0,5490964700.0,0.5615323652163781,1054.0,931.0,0.9469,7900.0,31590.0,20738.0,0.3803,,,0.297,997.2,1006.22,1008.91,0.0008,-0.0082,-0.0108,52.38,1024.26,988.18,36.08,0.2722
ＥＲＩホールディングス,6083,サービス業,スタンダード（内国株式）,JP,2025-05-31,東京都,3995.0,29893167104.0,3.9963548,,13.646923,12.445731574695847,0.2903,0.007614213,292.74,,159.87999374610914,19765494000.0,2045769000.0,0.21677999,1293720000.0,0.122700006,0.44101003,0.47207689969951006,7050690000.0,4841457000.0,9579233000.0,2550829000.0,5863509000.0,96034000.0,2595766800.0,0.08683478705916915,5060.0,1600.0,0.7895,60100.0,102170.0,41395.0,1.4855,,,0.566,4049.0,4514.2,4534.13,-0.0133,-0.115,-0.1189,35.62,5087.96,3940.44,1147.53,0.0475
アーキテクツ・スタジオ・ジャパン,6085,サービス業,グロース（内国株式）,JP,2025-03-31,東京都,2804.0,32173367296.0,-6431.193,,,-3.25069091199107,0.0,0.0,-24.81,,-49.015219398228666,897496000.0,-96615000.0,-1.39716,-79904000.0,-0.46304,-22.15789,0.04535616780918806,1896149000.0,575656000.0,630582000.0,1338209000.0,211375000.0,,-1265567000.0,-0.03933585777194492,5300.0,137.0,0.5291,116600.0,662550.0,421486.0,0.3635,,,1.576,2945.0,2881.6,1368.79,-0.0479,-0.0269,1.0485,38.1,4263.77,1499.43,2764.33,0.4719
シンメンテホールディングス,6086,サービス業,グロース（内国株式）,JP,2025-02-28,東京都,1090.0,20588875776.0,4.3938856,10.475733,17.214151,16.77029648675863,0.2527,0.015238095,63.32,104.05,43.13999944043447,25707509000.0,1534311000.0,0.07456,1033141000.0,0.0433,0.31033,0.3917846043447478,5514349000.0,4776463000.0,7731416000.0,392848000.0,4140204000.0,343512000.0,2457525400.0,0.11936180618781932,1290.0,651.0,0.845,28900.0,42700.0,20908.0,1.4311,,,0.366,1046.6,1125.24,1169.26,0.0415,-0.0313,-0.0678,39.9,1270.22,980.26,289.95,0.3785
アビスト,6087,サービス業,スタンダード（内国株式）,JP,2025-09-30,東京都,3375.0,13429658624.0,1.9092649,20.041569,20.673813,19.337460296803563,0.62479997,0.030177515,163.25,168.4,153.5500157937073,10627251000.0,953682000.0,0.11728,649573000.0,0.06491,0.10232,0.758038674242401,2363741000.0,1555743000.0,6043993000.0,10000000.0,4143252000.0,1188234000.0,4512015800.0,0.33597397568517673,3485.0,2932.0,0.9684,1100.0,5010.0,2808.0,0.3706,,,0.333,3363.0,3427.8,3396.8,0.0036,-0.0154,-0.0064,38.46,3501.52,3354.08,147.43,0.1419
