company_name,ticker_code,industry,market,market_type,fiscal_period,prefecture,stock_price,market_cap,pbr,per_forward,per_trailing,per_previous,payout_ratio,dividend_yield,eps_trailing,eps_forward,eps_previous,revenue,operating_income,operating_margin,net_income,profit_margin,roe,equity_ratio,total_liabilities,current_liabilities,current_assets,total_debt,cash_and_equivalents,investment_securities,net_cash,net_cash_ratio,week52_high,week52_low,week52_high_ratio,volume_current,volume_avg_10d,volume_avg_90d,volume_surge_ratio,short_percent_float,short_ratio,beta,ma5,ma25,ma75,ma5_deviation,ma25_deviation,ma75_deviation,rsi14,bb_upper,bb_lower,bb_width,bb_pct_b
Ａｂａｌａｎｃｅ,3856,電気機器,スタンダード（内国株式）,JP,2024-06-30,東京都,635.0,12033664000.0,0.32346815,,1.7841088,1.7784027788118144,0.0139999995,0.006666667,355.92,,290.40999515749377,208972000000.0,23353000000.0,0.11744001,9530000000.0,0.01313,,0.16050155487337936,107743000000.0,83261000000.0,89197000000.0,44955000000.0,37740000000.0,2582000000.0,-16738600000.0,-1.390981167498112,1400.0,328.0,0.4536,411100.0,441740.0,348911.0,0.8787,,,0.926,580.8,609.2,555.01,0.0933,0.0424,0.1441,49.49,700.67,517.73,182.94,0.641
ユビキタスＡＩ,3858,情報・通信業,スタンダード（内国株式）,JP,2025-03-31,東京都,343.0,3587396864.0,1.7058481,,,112.53630948328268,0.0,0.0,-3.07,,3.145651404648087,4138789000.0,96498000.0,-0.16500999,91084000.0,-0.029579999,-0.05633,0.694410568281014,1054429000.0,730717000.0,2513353000.0,65414000.0,1346054000.0,265341000.0,1644662700.0,0.45845574447154336,507.0,321.0,0.6765,30500.0,33690.0,78334.0,0.3592,,,0.556,337.8,338.48,364.81,0.0154,0.0134,-0.0598,58.67,357.47,319.49,37.98,0.619
王子ホールディングス,3861,パルプ・紙,プライム（内国株式）,JP,2025-03-31,東京都,842.1,746683629568.0,0.72335786,11.0294695,24.38749,11.446697386240977,0.86910003,0.035269223,34.53,76.35,51.30000002251417,1849264000000.0,67687000000.0,0.02079,46171000000.0,0.0,0.025969999,0.41814400595059636,1502241000000.0,738818000000.0,806504000000.0,903388000000.0,58429000000.0,197835000000.0,-557252500000.0,-0.7463033578523786,990.7,612.4,0.85,4314900.0,4019410.0,4328157.0,1.0206,,,,849.46,855.85,891.52,-0.0087,-0.0161,-0.0554,52.73,887.44,824.26,63.18,0.2823
日本製紙,3863,パルプ・紙,プライム（内国株式）,JP,2025-03-31,東京都,1431.0,165326127104.0,0.34073016,11.864688,9.359058,5.289926201597433,0.09810001,0.010683761,152.9,120.61,197.0899995579403,1182431000000.0,19708000000.0,0.02009,4539000000.0,0.010319999,0.02888,0.2829928586022023,1192875000000.0,479192000000.0,638305000000.0,874926000000.0,185941000000.0,172984000000.0,-433481200000.0,-2.6219763784057823,1437.0,987.0,0.9958,1241200.0,834290.0,792329.0,1.857,,,0.262,1369.8,1282.1,1226.4,0.0447,0.1161,0.1668,83.76,1405.02,1159.18,245.84,1.1057
三菱製紙,3864,パルプ・紙,プライム（内国株式）,JP,2025-03-31,東京都,990.0,43370270720.0,0.5259808,18.333334,13.161393,6.934183719313324,0.19940001,0.015274949,75.22,54.0,95.28000015902849,175942000000.0,4567000000.0,-0.029690001,4343000000.0,-0.00065,-0.00107,0.40944783567143894,122937000000.0,88882000000.0,91512000000.0,72334000000.0,6239000000.0,24813000000.0,-14055900000.0,-0.32409066779281565,998.0,583.0,0.992,351200.0,214800.0,326691.0,1.2642,,,0.23,954.2,855.82,763.71,0.0375,0.1568,0.2963,97.27,979.49,732.15,247.33,1.0425
北越コーポレーション,3865,パルプ・紙,プライム（内国株式）,JP,2025-03-31,東京都,898.0,151073914880.0,0.56079084,8.988989,13.012607,22.526191806289738,0.34759998,0.026431719,69.01,99.9,49.84651025069086,305718000000.0,19728000000.0,0.04586,15529000000.0,0.036340002,0.04042,0.6329395868048758,153014000000.0,82005000000.0,179486000000.0,90630000000.0,27644000000.0,30608000000.0,47897600000.0,0.31704745348027613,1172.0,809.0,0.7662,166400.0,307430.0,332424.0,0.5776,,,0.293,905.2,930.58,937.54,-0.008,-0.035,-0.0422,48.44,1006.35,854.8,151.55,0.285
みのや,386A,小売業,スタンダード（内国株式）,JP,2024-06-30,埼玉県,1410.0,5083049984.0,1.3645773,,19.892776,,0.0,0.0,70.88,,,,,0.03603,,0.01017,,0.32541649810982043,5182736000.0,3554514000.0,3233742000.0,2247262000.0,1108145000.0,176398000.0,-1825515400.0,-0.35913780225380526,2980.0,1310.0,0.4732,5800.0,10110.0,14380.0,0.313,,,,1367.4,1403.52,1529.24,0.0312,0.0046,-0.078,50.83,1496.44,1310.6,185.85,0.5349
中越パルプ工業,3877,パルプ・紙,プライム（内国株式）,JP,2025-03-31,,1930.0,24251492352.0,0.4138731,,33.889378,4.752856906514657,1.3155999,0.038323965,56.95,,285.81357633794113,111009000000.0,4848000000.0,-0.00296,1761000000.0,0.0028600001,-0.01107,0.4666989367288002,65948000000.0,52103000000.0,54612000000.0,37194000000.0,9005000000.0,11651000000.0,-3180300000.0,-0.13113832146242016,2087.0,1426.0,0.9248,16000.0,26400.0,38309.0,0.4073,,,,1924.4,1876.87,1930.08,0.0029,0.0283,-0.0,73.18,1950.02,1803.72,146.3,0.8632
巴川コーポレーション,3878,化学,スタンダード（内国株式）,JP,2025-03-31,,881.0,8639268864.0,0.52726704,8.082569,15.458852,10.917609329354335,0.26299998,0.01655629,56.99,109.0,57.2748841533509,34432000000.0,1286000000.0,0.029879998,749000000.0,0.0166,0.04081,0.33065723522902335,26460000000.0,18197000000.0,21639000000.0,13882000000.0,4925000000.0,6318000000.0,-398400000.0,-0.046115013466028414,949.0,596.0,0.9283,50400.0,136280.0,51819.0,1.3089,,,0.608,899.8,844.96,821.12,-0.0209,0.0427,0.0729,65.56,949.79,740.13,209.66,0.6719
フラー,387A,情報・通信業,グロース（内国株式）,JP,2024-06-30,新潟県,1080.0,1833321600.0,1.6037779,,11.19055,265.1367411474441,0.0,0.0,96.51,,16.97237425686515,,,0.03656,,0.08274,,0.595837630976246,520762000.0,294523000.0,1137985000.0,228319000.0,886065000.0,19769000.0,631061300.0,0.3442174575371828,5420.0,1045.0,0.1993,2400.0,1980.0,5590.0,0.2683,,,,1091.8,1088.44,1305.93,-0.0108,-0.0078,-0.173,51.24,1130.5,1046.38,84.11,0.3997
大王製紙,3880,パルプ・紙,プライム（内国株式）,JP,2025-03-31,,994.0,165444534272.0,0.6910865,18.904526,,29.91464145546571,23.1884,0.013958125,-20.06,52.58,26.889549605636073,668912000000.0,9808000000.0,0.05487,-11197000000.0,0.00592,0.02016,0.2671572997948234,636355000000.0,266702000000.0,360882000000.0,444637000000.0,113189000000.0,21382000000.0,-260505600000.0,-1.5745796689282847,1244.0,774.0,0.799,297900.0,314040.0,410134.0,0.8016,,,0.338,1002.0,1032.34,1034.34,-0.008,-0.0371,-0.039,38.89,1100.92,963.77,137.15,0.2204
