company_name,ticker_code,industry,market,market_type,fiscal_period,prefecture,stock_price,market_cap,pbr,per_forward,per_trailing,per_previous,payout_ratio,dividend_yield,eps_trailing,eps_forward,eps_previous,revenue,operating_income,operating_margin,net_income,profit_margin,roe,equity_ratio,total_liabilities,current_liabilities,current_assets,total_debt,cash_and_equivalents,investment_securities,net_cash,net_cash_ratio,week52_high,week52_low,week52_high_ratio,volume_current,volume_avg_10d,volume_avg_90d,volume_surge_ratio,short_percent_float,short_ratio,beta,ma5,ma25,ma75,ma5_deviation,ma25_deviation,ma75_deviation,rsi14,bb_upper,bb_lower,bb_width,bb_pct_b
極洋,1301,水産・農林業,プライム（内国株式）,JP,2025-03-31,東京都,5030.0,59743014912.0,0.8074872,17.50174,8.730365,7.23005395891022,0.22559999,0.025948104,576.15,287.4,548.609977030654,302681000000.0,11080000000.0,0.044689998,6740000000.0,0.0,,0.3652267498366435,113763000000.0,74995000000.0,134258000000.0,79916000000.0,7514000000.0,14053000000.0,30332100000.0,0.5077095631125822,5450.0,3615.0,0.9229,22900.0,85000.0,52281.0,0.495,,,,5008.0,5011.19,4907.41,0.0044,0.0038,0.025,54.87,5220.16,4802.22,417.94,0.545
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A,医薬品,グロース（内国株式）,JP,2025-12-31,東京都,458.0,2971098112.0,1.6655272,,,-20.42576004263202,0.0,0.0,-65.63,,-37.11000219418644,91140000.0,-396748000.0,-4.32034,-425671000.0,0.0,-0.21319,0.94639749760201,101036000.0,101035000.0,1865371000.0,,1825213000.0,,1764335000.0,0.5938326280354084,940.0,428.0,0.4872,6300.0,13140.0,149463.0,0.0398,,,-0.343,458.2,469.64,482.96,-0.0004,-0.0248,-0.0517,44.94,492.18,447.1,45.08,0.2418
ニッスイ,1332,水産・農林業,プライム（内国株式）,JP,2025-03-31,東京都,1365.0,413967679488.0,1.4577025,15.36643,15.543157,11.061976069122077,0.3418,0.022066936,87.82,88.83,76.66999989893061,886126000000.0,31783000000.0,0.049089998,25381000000.0,0.03085,0.1066,0.4363657269585653,348939000000.0,226179000000.0,332568000000.0,215270000000.0,14707000000.0,30453000000.0,4946100000.0,0.0119480342188003,1570.0,795.1,0.8694,600300.0,1136270.0,1510718.0,0.4002,,,0.181,1361.8,1383.78,1306.35,0.0023,-0.0136,0.0449,54.32,1496.65,1270.91,225.75,0.4168
マルハニチロ,1333,水産・農林業,プライム（内国株式）,JP,2025-03-31,東京都,1480.5,223818219520.0,0.93485266,5.6443005,10.214571,7.631794872702049,0.2529,0.024943538,144.94,262.3,137.8699996778207,1078631000000.0,30382000000.0,0.03536,23264000000.0,0.01611,0.08513,0.3369998429267877,405816000000.0,236915000000.0,414576000000.0,270911000000.0,49240000000.0,44671000000.0,40029700000.0,0.1788491575254579,1589.0,971.0,0.9317,390200.0,594480.0,646808.0,0.6238,,,,1472.8,1471.02,1395.02,0.0052,0.0064,0.0613,59.6,1540.52,1401.52,139.0,0.5682
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,情報・通信業,グロース（内国株式）,JP,2025-02-28,東京都,2499.0,25572265984.0,17.313646,,71.54308,58.09115778362677,0.0,0.0,34.93,,32.69000089606134,2144641000.0,594987000.0,-0.036140002,425072000.0,0.13646,,0.7590650897301636,451393000.0,451393000.0,1539832000.0,5200000.0,488886000.0,,1088439000.0,0.042563259770605,3825.0,1481.0,0.6533,58500.0,73690.0,105038.0,0.5901,,,1.056,2400.6,2486.28,2753.12,0.041,0.0051,-0.0923,46.02,2744.13,2228.43,515.71,0.5247
ユキグニファクトリー,1375,水産・農林業,プライム（内国株式）,JP,2025-03-31,新潟県,1067.0,42554974208.0,2.92635,6.753165,50.592697,32.07713040364584,0.7579,0.015023475,21.09,158.0,33.84731101918014,53139000000.0,2420000000.0,0.51014,1502000000.0,0.03839,0.1008,0.3265554029787683,25343000000.0,9502000000.0,11501000000.0,17159000000.0,3903000000.0,186000000.0,-13711800000.0,-0.3222138012111,1202.0,991.0,0.8877,28300.0,61720.0,55691.0,0.551,,,0.183,1068.2,1065.38,1057.44,-0.0011,0.0015,0.009,55.57,1083.56,1047.19,36.36,0.5447
カネコ種苗,1376,水産・農林業,スタンダード（内国株式）,JP,2025-05-31,群馬県,1471.0,16131232768.0,0.64074004,,12.65594,12.98002462617086,0.32700002,0.025469169,116.23,,103.28880898088056,64508666000.0,1511651000.0,0.0072899996,1200256000.0,0.01991,0.05234,0.5071656318283071,24306507000.0,22983956000.0,38277060000.0,,1934582000.0,2264370000.0,15555612000.0,0.964316380757838,1859.0,1310.0,0.7913,52200.0,20610.0,22071.0,2.8599,,,0.269,1483.2,1470.52,1518.13,-0.0082,0.0003,-0.031,57.56,1523.07,1417.97,105.1,0.5046
サカタのタネ,1377,水産・農林業,プライム（内国株式）,JP,2025-05-31,神奈川県,4555.0,192492912640.0,1.1588674,21.592794,17.04078,8.896147567524732,0.2992,0.017957352,267.3,210.95,365.2200012116753,92920000000.0,12258000000.0,0.099709995,9711000000.0,0.11773,0.07039,0.844585466997581,29220000000.0,20037000000.0,113848000000.0,2868000000.0,29525000000.0,18464000000.0,97552800000.0,0.5067864507949086,4575.0,3035.0,0.9956,166400.0,146300.0,159466.0,1.1373,,,-0.041,4403.0,4322.6,4232.07,0.0345,0.0538,0.0763,72.41,4514.07,4131.13,382.93,1.1069
ホクト,1379,水産・農林業,プライム（内国株式）,JP,2025-03-31,長野県,1933.0,60501090304.0,0.9755467,,10.979212,16.759018154345913,0.284,0.025786487,176.06,,106.37999937711116,83104000000.0,6628000000.0,0.16868,4441000000.0,0.07396,0.107080005,0.5278479836461625,50813000000.0,24823000000.0,38621000000.0,33066000000.0,16323000000.0,8374000000.0,-6330200000.0,-0.1046295193721737,2123.0,1690.0,0.9105,46900.0,122910.0,91540.0,0.573,,,0.014,1925.2,1908.49,1952.11,0.0041,0.0128,-0.0098,63.48,1960.92,1856.06,104.86,0.7337
Ｃｏｃｏｌｉｖｅ,137A,情報・通信業,グロース（内国株式）,JP,2025-05-31,東京都,696.0,2103618304.0,5.687808,,11.307879,23.746533115519256,0.0,0.0,61.55,,46.869999699982,1301771000.0,279617000.0,0.21733999,209170000.0,0.0,,0.8409387789823908,168282000.0,168279000.0,1020383000.0,,,,852101000.0,0.4050644541263699,1585.0,669.0,0.4391,11400.0,4580.0,22168.0,0.6185,,,,695.2,696.12,816.64,0.0012,-0.0002,-0.1477,56.79,716.62,675.62,41.01,0.4971
