company_name,ticker_code,industry,market,market_type,fiscal_period,prefecture,stock_price,market_cap,pbr,per_forward,per_trailing,per_previous,payout_ratio,dividend_yield,eps_trailing,eps_forward,eps_previous,revenue,operating_income,operating_margin,net_income,profit_margin,roe,equity_ratio,total_liabilities,current_liabilities,current_assets,total_debt,cash_and_equivalents,investment_securities,net_cash,net_cash_ratio,week52_high,week52_low,week52_high_ratio,volume_current,volume_avg_10d,volume_avg_90d,volume_surge_ratio,short_percent_float,short_ratio,beta,ma5,ma25,ma75,ma5_deviation,ma25_deviation,ma75_deviation,rsi14,bb_upper,bb_lower,bb_width,bb_pct_b
共同印刷,7914,その他製品,プライム（内国株式）,JP,2025-03-31,東京都,1537.0,42492334080.0,0.65358305,,10.883727,25.179148947909045,0.55259997,0.0,141.22,,49.77857689874472,99977000000.0,2336000000.0,0.02893,3310000000.0,0.04032,0.061869998,0.4984782195168347,63256000000.0,26262000000.0,47780000000.0,13015000000.0,12254000000.0,17501000000.0,-3225300000.0,-0.07590310275561121,1760.0,1265.0,0.8733,57800.0,77500.0,81493.0,0.5348,,,0.586,1539.2,1522.08,1569.19,-0.0014,0.0098,-0.0205,62.18,1564.62,1479.54,85.08,0.6754
ＮＩＳＳＨＡ,7915,その他製品,プライム（内国株式）,JP,2025-12-31,京都府,1399.0,66331414528.0,0.74366635,9.526728,66.20918,15.068249362402318,2.3663,0.010578279,21.13,146.85,79.92171117385216,194898000000.0,4400000000.0,0.0688,1001000000.0,0.01386,0.03286,0.461042699504238,132249000000.0,81041000000.0,116221000000.0,73797000000.0,39213000000.0,11075000000.0,-8275500000.0,-0.12475989030064666,1710.0,1117.0,0.8181,187300.0,204030.0,237910.0,0.7586,,,0.681,1428.4,1536.36,1369.33,-0.0206,-0.0894,0.0217,13.23,1762.34,1310.38,451.95,0.1961
光村印刷,7916,その他製品,スタンダード（内国株式）,JP,2025-03-31,東京都,1816.0,5562891264.0,0.30561978,,15.747485,68.86402339187518,0.4338,0.02753304,115.32,,18.506065095228426,14756503000.0,-158794000.0,-0.02003,70563000.0,0.02498,0.019960001,0.6340731435456191,9944576000.0,5381532000.0,10377351000.0,3552541000.0,4145913000.0,5158886000.0,4043995200.0,0.7269592390148865,2005.0,1303.0,0.9057,1800.0,570.0,1156.0,0.0,,,0.254,1814.4,1848.28,1850.5,0.0009,-0.0175,-0.0186,41.54,1977.9,1718.66,259.25,0.3755
ＺＡＣＲＯＳ,7917,化学,プライム（内国株式）,JP,2025-03-31,東京都,1279.0,91512872960.0,0.9623741,3.3728015,12.170521,2.609135795821569,0.3424,0.029220778,105.09,379.21,347.9999965892803,,,0.053629998,,0.04861,0.08519,0.597689798994322,53234000000.0,42566000000.0,86783000000.0,4669000000.0,14986000000.0,2667000000.0,35415900000.0,0.38700456946073786,1548.0,912.5,0.8262,215300.0,164810.0,167131.0,1.1165,,,0.638,1247.2,1271.68,1339.74,0.0255,0.0058,-0.0453,54.13,1328.52,1214.84,113.68,0.5644
ヴィア・ホールディングス,7918,小売業,スタンダード（内国株式）,JP,2025-03-31,東京都,104.0,4745071104.0,3.8297246,,,21.990177189814816,0.0,0.0,-11.23,,5.138658002825833,17373000000.0,199000000.0,0.00424,-19000000.0,-0.02942,-0.42720002,0.18177533385703062,5208000000.0,2127000000.0,1936000000.0,2582000000.0,927000000.0,371000000.0,-3012300000.0,-0.6348271572707712,131.0,103.0,0.7939,37400.0,29270.0,70670.0,0.2652,,,-0.224,103.6,104.04,110.51,0.0039,-0.0004,-0.0589,50.0,105.82,102.26,3.56,0.4887
野崎印刷紙業,7919,その他製品,スタンダード（内国株式）,JP,2025-03-31,京都府,191.0,3083569664.0,0.66776675,,8.6113615,5.76451044092392,0.33830002,0.0,22.18,,31.454187657781628,,,0.0383,,0.025610002,0.07756,0.413090519387453,6043735000.0,4533340000.0,4852639000.0,2397338000.0,1433833000.0,263666000.0,-1006529800.0,-0.3264170781516678,240.0,181.0,0.7958,2200.0,10520.0,12926.0,0.1127,,,0.369,189.8,190.64,200.53,0.0063,0.0019,-0.0475,53.85,197.19,184.09,13.11,0.5275
ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,7921,その他製品,プライム（内国株式）,JP,2025-05-31,東京都,3050.0,39368458240.0,1.2930293,,9.523809,13.70283172662137,0.32790002,0.03442623,320.25,,231.76000215905052,29678785000.0,4048828000.0,0.03684,4075516000.0,0.13103,0.13819,0.7572823301779016,9331158000.0,7567975000.0,26111519000.0,208890000.0,19145987000.0,3206222000.0,19024716400.0,0.4832476873750187,4795.0,2783.0,0.6361,27800.0,34840.0,27131.0,0.9199,,,0.272,3010.8,3079.96,3512.51,0.013,-0.0097,-0.1317,49.01,3369.07,2790.85,578.23,0.4482
三光産業,7922,その他製品,スタンダード（内国株式）,JP,2025-03-31,,719.0,5565778432.0,0.62029177,,48.778835,-26.578383634623563,0.0,0.0,14.74,,-14.635953989814908,9666593000.0,82935000.0,0.03946,86096000.0,0.011039999,0.01285,0.7407992845604443,3070529000.0,2704658000.0,6603462000.0,1033512000.0,2280805000.0,1262473000.0,4416664100.0,0.7935393321815941,914.0,382.0,0.7867,2300.0,6280.0,77826.0,0.0212,,,-0.047,717.8,719.0,741.55,0.0017,0.0,-0.0304,50.0,720.73,717.27,3.46,0.5
トーイン,7923,その他製品,スタンダード（内国株式）,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前澤化成工業,7925,化学,プライム（内国株式）,JP,2025-03-31,東京都,,28606861312.0,0.6610438,,14.903661,19.42422435996008,0.5725,0.0,129.23,,91.8300020348234,24166000000.0,2165000000.0,0.08599,1714000000.0,0.07387,0.044,0.8297829702811567,8389000000.0,6879000000.0,28409000000.0,330000000.0,12905000000.0,9629000000.0,26760300000.0,0.9354504049968808,2547.0,1737.0,,91500.0,53720.0,43645.0,,,,0.402,,,,,,,,,,,
