company_name,ticker_code,industry,market,market_type,fiscal_period,prefecture,stock_price,market_cap,pbr,per_forward,per_trailing,per_previous,payout_ratio,dividend_yield,eps_trailing,eps_forward,eps_previous,revenue,operating_income,operating_margin,net_income,profit_margin,roe,equity_ratio,total_liabilities,current_liabilities,current_assets,total_debt,cash_and_equivalents,investment_securities,net_cash,net_cash_ratio,week52_high,week52_low,week52_high_ratio,volume_current,volume_avg_10d,volume_avg_90d,volume_surge_ratio,short_percent_float,short_ratio,beta,ma5,ma25,ma75,ma5_deviation,ma25_deviation,ma75_deviation,rsi14,bb_upper,bb_lower,bb_width,bb_pct_b
アサンテ,6073,サービス業,プライム（内国株式）,JP,2025-03-31,東京都,1380.0,13486635008.0,1.4036772,15.953757,55.26632,32.56093647743336,2.478,0.02186589,24.97,86.5,47.46999840162156,14024081000.0,1226213000.0,0.02106,687898000.0,0.08601,0.095290005,0.6792714724279183,4601217000.0,2064264000.0,9350561000.0,2356504000.0,7106131000.0,20534000.0,4763717800.0,0.3532176704696359,1728.0,1361.0,0.7986,47700.0,51557.0,35001.0,1.5567,,,0.327,1400.6,1478.68,1534.41,-0.0147,-0.0667,-0.1006,21.96,1570.92,1386.44,184.49,-0.0349
ジェイエスエス,6074,サービス業,スタンダード（内国株式）,JP,2025-03-31,大阪府,517.0,2081262592.0,0.64877295,5.25941,10.396139,7.397221412304935,0.4023,0.03527337,49.73,98.3,56.50920597064938,8381933000.0,252190000.0,0.07576,192605000.0,0.03078,,0.40037453472357587,4509662000.0,1999532000.0,1450310000.0,2512481000.0,1067040000.0,27055000.0,-3040413500.0,-1.4608505008867232,597.0,431.0,0.866,33100.0,3428.0,8686.0,4.7542,,,0.373,554.6,555.56,535.86,-0.0678,-0.0694,-0.0352,30.0,591.74,519.38,72.35,-0.033
バリューＨＲ,6078,サービス業,プライム（内国株式）,JP,2025-12-31,東京都,1406.0,37490913280.0,5.4453278,,59.72812,53.17212956579355,1.1069,0.018664753,23.54,,29.52999976594748,10068322000.0,883326000.0,0.15712,629022000.0,0.062480003,0.0926,0.378577967093927,11319128000.0,6423122000.0,6574400000.0,5085610000.0,4931033000.0,1492301000.0,-3700117300.0,-0.09869370938941288,1899.0,1336.0,0.7404,25500.0,19257.0,31277.0,0.5877,,,0.078,1401.0,1442.04,1422.48,0.0036,-0.025,-0.0116,40.82,1517.0,1367.08,149.91,0.2596
Ｍ＆Ａキャピタルパートナーズ,6080,サービス業,プライム（内国株式）,JP,2025-09-30,東京都,3370.0,107026415616.0,2.3524945,16.154547,17.478346,18.97916284363931,0.2701,0.015482912,192.81,208.61,140.08600430875532,22448727000.0,7126679000.0,0.39425,5070542000.0,0.26037002,0.14664,0.7760550541471098,12490281000.0,8031058000.0,46916092000.0,3110122000.0,16243092000.0,2877559000.0,36440102300.0,0.34047764834752026,3780.0,2630.0,0.8915,86600.0,226000.0,146087.0,0.6389,,,0.674,3362.0,3303.8,3323.19,0.0024,0.02,0.0141,51.69,3457.35,3150.25,307.1,0.7156
アライドアーキテクツ,6081,サービス業,グロース（内国株式）,JP,2025-12-31,東京都,233.0,3694043136.0,2.0694923,8.645639,,-4.900184086106479,0.0,0.0,-51.8,26.95,-36.32516592686476,2990959000.0,-188437000.0,-0.025810001,-743342000.0,-0.24849,-0.32424,0.5488631540094122,1310424000.0,964535000.0,2498434000.0,454268000.0,1528242000.0,268074000.0,1375661800.0,0.37240003685760964,466.0,166.0,0.5,171700.0,136357.0,801829.0,0.0921,,,1.727,239.6,267.24,314.93,-0.0275,-0.1281,-0.2602,25.58,315.13,219.35,95.77,0.1425
ライドオンエクスプレスホールディングス,6082,サービス業,スタンダード（内国株式）,JP,2025-03-31,東京都,984.0,9641362432.0,1.1572876,20.0,20.305407,26.378215328327556,0.30969998,0.01529052,48.46,49.2,37.43000034677927,23393750000.0,781703000.0,0.03925,333605000.0,0.01758,0.05207,0.6176461242118797,4966526000.0,3340594000.0,8709499000.0,1649667000.0,6544597000.0,2497131000.0,5490964700.0,0.5695216561691848,1050.0,980.0,0.9371,10500.0,9457.0,18903.0,0.5145,,,0.286,982.2,989.04,1004.73,0.0018,-0.0051,-0.0206,35.0,998.76,979.32,19.44,0.2408
ＥＲＩホールディングス,6083,サービス業,スタンダード（内国株式）,JP,2025-05-31,東京都,4050.0,30304712704.0,4.050891,,13.827245,12.35462091025543,0.2903,0.021039603,292.9,,159.87999374610914,19765494000.0,2045769000.0,0.21677999,1293720000.0,0.122700006,0.44101003,0.47207689969951006,7050690000.0,4841457000.0,9579233000.0,2550829000.0,5863509000.0,96034000.0,2595766800.0,0.08565554886971022,5060.0,2000.0,0.8004,19300.0,24671.0,44243.0,0.4784,,,0.579,4145.0,4151.6,4366.2,-0.0229,-0.0245,-0.0724,42.86,4348.78,3954.42,394.37,0.2424
アーキテクツ・スタジオ・ジャパン,6085,サービス業,グロース（内国株式）,JP,2025-03-31,東京都,504.0,57829343232.0,-259.25925,,,-0.36723287625742,0.0,0.0,-2.49,,-49.015219398228666,897496000.0,-96615000.0,-1.39716,-79904000.0,-0.81004995,,0.04535616780918806,1896149000.0,575656000.0,630582000.0,1338209000.0,211375000.0,,-1265567000.0,-0.0218845127623669,720.0,18.5,0.7,3280400.0,6545671.0,5782875.0,0.7064,,,2.022,528.8,436.65,274.43,-0.0469,0.1542,0.8365,58.73,696.15,177.15,519.0,0.6298
シンメンテホールディングス,6086,サービス業,グロース（内国株式）,JP,2025-02-28,東京都,1117.0,21093623808.0,4.549954,10.735223,17.043026,13.872752709784391,0.3053,0.018796992,65.54,104.05,52.86000089844621,,,0.01701,,0.04137,0.30264,0.3917846043447478,5514349000.0,4776463000.0,7731416000.0,392848000.0,4140204000.0,343512000.0,2457525400.0,0.11650560483912466,1290.0,733.0,0.8659,47400.0,38271.0,30351.0,1.8617,,,0.349,1089.6,1040.2,1122.84,0.0251,0.0738,-0.0052,69.09,1122.65,957.75,164.9,0.9657
アビスト,6087,サービス業,スタンダード（内国株式）,JP,2025-09-30,東京都,3400.0,13529137152.0,1.9234076,20.190025,20.820576,20.22218099351542,0.62479997,0.030044183,163.3,168.4,153.5500157937073,10627251000.0,953682000.0,0.11728,649573000.0,0.06491,0.10232,0.758038674242401,2363741000.0,1555743000.0,6043993000.0,10000000.0,4143252000.0,1188234000.0,4512015800.0,0.33350358927605317,3485.0,3075.0,0.9756,1800.0,1414.0,2415.0,0.7152,,,0.341,3403.0,3403.2,3412.93,-0.0009,-0.0009,-0.0038,44.0,3428.84,3377.56,51.28,0.4376
シグマクシス・ホールディングス,6088,サービス業,プライム（内国株式）,JP,2025-03-31,東京都,589.0,48049827840.0,3.313531,4.9194016,11.357501,27.180909800360386,0.4048,0.0,51.86,119.73,38.36123385725899,26293590000.0,5638919000.0,0.26268998,4394662000.0,0.16663,0.27833998,0.7229704627414348,5468793000.0,4781485000.0,14073977000.0,16262000.0,6945511000.0,3024643000.0,10722434100.0,0.22315239371313428,1331.0,552.0,0.4425,724900.0,839571.0,594939.0,1.2272,,,0.537,577.0,633.08,660.8,0.0208,-0.0696,-0.1087,25.95,699.27,566.89,132.38,0.167
ウィルグループ,6089,サービス業,プライム（内国株式）,JP,2025-03-31,東京都,1048.0,24012689408.0,1.2222644,,13.370758,7.286132777698097,0.56130004,0.039855074,78.38,,121.54357717885894,139705000000.0,2339000000.0,0.0327,1155000000.0,0.01411,0.10308,0.348376499809707,32563000000.0,25208000000.0,26551000000.0,6605000000.0,6936000000.0,2160000000.0,-4500000000.0,-0.1874009163880158,1319.0,896.0,0.7945,136700.0,53200.0,71946.0,1.8243,,,,1093.0,1139.16,1173.12,-0.0412,-0.08,-0.1067,21.58,1205.72,1072.6,133.12,-0.1848
ヒューマン・メタボローム・テクノロジーズ,6090,サービス業,スタンダード（内国株式）,JP,2025-06-30,山形県,626.0,3482863104.0,1.9484866,18.466076,17.554684,16.846713321872723,0.42060003,0.0,35.66,33.9,41.13787363897207,1455004000.0,249521000.0,-0.44949,256420000.0,-0.04118,-0.02852,0.803752368286626,466011000.0,449943000.0,1864807000.0,110468000.0,1562417000.0,49980000.0,1433782000.0,0.411667630103902,869.0,626.0,0.7204,23100.0,9485.0,8467.0,2.6224,,,1.496,662.0,691.72,700.53,-0.0544,-0.095,-0.1064,10.42,730.91,652.53,78.37,-0.3386
ウエスコホールディングス,6091,サービス業,スタンダード（内国株式）,JP,2024-07-31,岡山県,844.0,11114905600.0,0.68520063,,12.766601,12.396746524231173,0.36310002,0.028605483,66.11,,52.25978090766823,,,0.07564,,0.053969998,0.055409998,0.779261425491288,4582471000.0,4146458000.0,13454657000.0,90390000.0,9135177000.0,2197692000.0,10410570400.0,0.9366314726055793,957.0,662.0,0.8819,7800.0,7714.0,17696.0,0.5417,,,0.073,844.6,855.52,866.44,-0.0007,-0.0135,-0.0259,38.1,872.96,838.08,34.87,0.1697
エンバイオ・ホールディングス,6092,サービス業,スタンダード（内国株式）,JP,2025-03-31,東京都,789.0,6390592512.0,0.7252625,,10.987328,6.33116170171385,0.12529999,0.011166253,71.81,,88.84515488522749,10668079000.0,839455000.0,0.13307999,452689000.0,-0.015310001,-0.02325,0.43129400425796366,11964584000.0,4818328000.0,8957765000.0,10098880000.0,3293050000.0,836741000.0,-2421100300.0,-0.3788538066624893,870.0,550.0,0.9069,116900.0,38771.0,66218.0,2.4621,,,0.583,812.8,822.88,735.1,-0.0293,-0.0412,0.0733,31.55,857.38,788.38,69.0,0.009
エスクロー・エージェント・ジャパン,6093,サービス業,スタンダード（内国株式）,JP,2025-02-28,東京都,162.0,7055294464.0,2.0175352,15.428572,37.155964,,1.3792999,0.0,4.36,10.5,,,,0.02369,,0.037219997,0.053600002,0.7468997457208667,1205087000.0,1023419000.0,3609028000.0,123047000.0,2993868000.0,57905000.0,2444474500.0,0.3464737740533802,204.0,124.0,0.7941,83800.0,121428.0,300544.0,0.2812,,,0.119,166.4,173.68,177.85,-0.0264,-0.0673,-0.0891,32.43,185.59,161.77,23.82,0.0098
